Sample	r_with_adapters	bp_processed	bp_written	r_processed	quality_trimmed	percent_trimmed
Sample_PRO1747_PlateH_D2_R1	2643339	1313158140	1294514300	10421890	5314219	1.4197711175898433
Sample_PRO1747_PlateH_D2_R2	2777106	1313158140	1290653515	10421890	9038391	1.7137787380276985
Sample_PRO1747_PlateH_D3_R1	3559587	1665359892	1634638449	13217142	3974272	1.8447329701873232
Sample_PRO1747_PlateH_D3_R2	3682294	1665359892	1628795832	13217142	9787500	2.195565065283799
Sample_PRO1747_PlateH_D4_R1	3310282	1710213498	1687986216	13573123	4320816	1.2996787843151498
Sample_PRO1747_PlateH_D4_R2	3375306	1710213498	1681278528	13573123	11130779	1.6918922715694764
Sample_PRO1747_PlateH_D5_R1	23	13104	12975	104	50	0.9844322344322344
Sample_PRO1747_PlateH_D5_R2	22	13104	12854	104	168	1.907814407814408
Sample_PRO1747_PlateH_D6_R1	2504822	1284756606	1268924282	10196481	4790604	1.2323208867781452
Sample_PRO1747_PlateH_D6_R2	2636964	1284756606	1265399620	10196481	8170013	1.5066656135177716
Sample_PRO1747_PlateH_D7_R1	3200072	1553387220	1511800968	12328470	7108680	2.6771336511961263
Sample_PRO1747_PlateH_D7_R2	3315155	1553387220	1507481647	12328470	11373706	2.95519188061815
Sample_PRO1747_PlateH_D8_R1	2887085	1413984096	1388897857	11222096	5477534	1.7741528402593858
Sample_PRO1747_PlateH_D8_R2	3025474	1413984096	1383921199	11222096	10514895	2.1261128102532774
Sample_PRO1747_PlateH_D9_R1	2891407	1467724986	1440353352	11648611	4908391	1.8649020941311414
Sample_PRO1747_PlateH_D9_R2	3044463	1467724986	1434090060	11648611	11451799	2.2916368066789863
Sample_PRO1747_PlateH_E10_R1	3717231	1695551256	1659850446	13456756	3883656	2.1055576983394952
Sample_PRO1747_PlateH_E10_R2	3772635	1695551256	1652115112	13456756	11909809	2.561771214305302
Sample_PRO1747_PlateH_E11_R1	3407295	1721664882	1697682324	13664007	4581525	1.3929864197578492
Sample_PRO1747_PlateH_E11_R2	3505066	1721664882	1690564295	13664007	11732060	1.8064251251887937
Sample_PRO1747_PlateH_E12_R1	3341149	1565283006	1538269353	12422881	3782716	1.725799928604093
Sample_PRO1747_PlateH_E12_R2	3443523	1565283006	1531595506	12422881	10595560	2.1521667245392684
Sample_PRO1747_PlateH_E1_R1	2901442	1469038032	1447469951	11659032	4018873	1.4681771696976733
Sample_PRO1747_PlateH_E1_R2	2983785	1469038032	1441631559	11659032	9941080	1.8656067714385764
Sample_PRO1747_PlateH_E2_R1	2564111	1234402848	1218001857	9796848	4713556	1.328657903420521
Sample_PRO1747_PlateH_E2_R2	2693152	1234402848	1213811081	9796848	8963843	1.6681561480000735
Sample_PRO1747_PlateH_E3_R1	3017637	1485010926	1457433336	11785801	6628840	1.8570631041942918
Sample_PRO1747_PlateH_E3_R2	3175274	1485010926	1453213198	11785801	11012645	2.1412453904059694
Sample_PRO1747_PlateH_E4_R1	2564185	1380732444	1365433435	10958194	4777069	1.1080357433825898
Sample_PRO1747_PlateH_E4_R2	2668670	1380732444	1361483692	10958194	8657441	1.3940971752815565
Sample_PRO1747_PlateH_E5_R1	3108894	1553155002	1526892395	12326627	4587750	1.6909198995709764
Sample_PRO1747_PlateH_E5_R2	3191558	1553155002	1521594387	12326627	10257625	2.032032537599876
Sample_PRO1747_PlateH_E6_R1	2907562	1497560652	1477413639	11885402	5827661	1.345322005695967
Sample_PRO1747_PlateH_E6_R2	3038217	1497560652	1471429944	11885402	11786684	1.7448847874777094
Sample_PRO1747_PlateH_E7_R1	2693293	1378696284	1359864381	10942034	5493047	1.3659210675003168
Sample_PRO1747_PlateH_E7_R2	2817969	1378696284	1355527263	10942034	9851316	1.6805021721520794
Sample_PRO1747_PlateH_E8_R1	2861278	1427246604	1406068687	11327354	3782789	1.4838302603521207
Sample_PRO1747_PlateH_E8_R2	3010690	1427246604	1399050234	11327354	11085281	1.9755780059995856
Sample_PRO1747_PlateH_E9_R1	2697928	1359910188	1341881096	10792938	5158341	1.3257560800037185
Sample_PRO1747_PlateH_E9_R2	2853329	1359910188	1337702524	10792938	9251299	1.6330243126320338
Sample_PRO1747_PlateH_F10_R1	2557297	1256514966	1235480911	9972341	4488995	1.67399955982697
Sample_PRO1747_PlateH_F10_R2	2710952	1256514966	1230881880	9972341	8898399	2.0400143805370323
Sample_PRO1747_PlateH_F11_R1	2953067	1520895726	1497024124	12070601	4879162	1.5695751912448992
Sample_PRO1747_PlateH_F11_R2	3086982	1520895726	1491759245	12070601	9981606	1.9157448141845852
Sample_PRO1747_PlateH_F12_R1	3988522	1869617610	1852141067	14838235	1660221	0.9347656390549295
Sample_PRO1747_PlateH_F12_R2	4095576	1869617610	1844060840	14838235	9779517	1.3669517158645077
Sample_PRO1747_PlateH_F1_R1	2056698	914637528	889445347	7259028	3693739	2.754334939119183
Sample_PRO1747_PlateH_F1_R2	2151462	914637528	886423515	7259028	6967779	3.0847206829239133
Sample_PRO1747_PlateH_F2_R1	1967007	875941668	862809834	6951918	5754239	1.4991676363545248
Sample_PRO1747_PlateH_F2_R2	2146416	875941668	858737928	6951918	9630905	1.9640280430180426
Sample_PRO1747_PlateH_F3_R1	2855021	1468884060	1443778459	11657810	4352287	1.7091615113584935
Sample_PRO1747_PlateH_F3_R2	2936836	1468884060	1439048744	11657810	9073956	2.0311552703485667
Sample_PRO1747_PlateH_F4_R1	2866497	1473091578	1452033947	11691203	5073139	1.429485533315567
Sample_PRO1747_PlateH_F4_R2	2974429	1473091578	1445828683	11691203	11231354	1.850726418313689
Sample_PRO1747_PlateH_F5_R1	3350428	1590854076	1555067073	12625826	6221442	2.249546551119375
Sample_PRO1747_PlateH_F5_R2	3443482	1590854076	1550433811	12625826	10864007	2.540790233987495
Sample_PRO1747_PlateH_F6_R1	2540373	1406361474	1379974901	11161599	6656788	1.876229794958106
Sample_PRO1747_PlateH_F6_R2	2654574	1406361474	1377077717	11161599	9376481	2.082235438141702
Sample_PRO1747_PlateH_F7_R1	3480937	1672444368	1642306925	13273368	7233955	1.8019997302535087
Sample_PRO1747_PlateH_F7_R2	3684451	1672444368	1636442256	13273368	12889277	2.152664249337829
Sample_PRO1747_PlateH_F8_R1	2781004	1404344844	1385975526	11145594	4567215	1.3080347094577292
Sample_PRO1747_PlateH_F8_R2	2905157	1404344844	1381096558	11145594	9535330	1.6554542211855765
Sample_PRO1747_PlateH_F9_R1	3055691	1529572590	1508760249	12139465	5709819	1.3606638309333197
Sample_PRO1747_PlateH_F9_R2	3196964	1529572590	1503920057	12139465	10520721	1.6771046479069032
Sample_PRO1747_PlateH_G10_R1	2850723	1287137250	1255703286	10215375	5798658	2.442161004974411
Sample_PRO1747_PlateH_G10_R2	2982191	1287137250	1251335862	10215375	10121392	2.7814740036464642
Sample_PRO1747_PlateH_G11_R1	2730607	1369548054	1345369854	10869429	6254208	1.7654145051269592
Sample_PRO1747_PlateH_G11_R2	2900380	1369548054	1340794261	10869429	10613841	2.099509609467124
Sample_PRO1747_PlateH_G12_R1	2518297	1185296490	1173623493	9407115	2248930	0.9848166343595601
Sample_PRO1747_PlateH_G12_R2	2610322	1185296490	1169435951	9407115	6360099	1.3381073118675986
Sample_PRO1747_PlateH_G1_R1	191	68040	64608	540	107	5.044091710758377
Sample_PRO1747_PlateH_G1_R2	182	68040	64287	540	495	5.515873015873016
Sample_PRO1747_PlateH_G2_R1	3087742	1409275350	1373762031	11184725	6637701	2.5199702102218704
Sample_PRO1747_PlateH_G2_R2	3235066	1409275350	1370588203	11184725	9393562	2.745180138146885
Sample_PRO1747_PlateH_G3_R1	1942944	954325260	933261451	7574010	3710310	2.2071939078716203
Sample_PRO1747_PlateH_G3_R2	2020054	954325260	930030740	7574010	6848678	2.5457274388817916
Sample_PRO1747_PlateH_G4_R1	2698419	1394573544	1374066989	11068044	5020234	1.4704534650199848
Sample_PRO1747_PlateH_G4_R2	2794634	1394573544	1369602404	11068044	9428659	1.7905932682744194
Sample_PRO1747_PlateH_G5_R1	2053978	982084446	960142674	7794321	6775845	2.2342042061014373
Sample_PRO1747_PlateH_G5_R2	2202344	982084446	958916576	7794321	7466986	2.3590507002083196
Sample_PRO1747_PlateH_G6_R1	1567952	715559670	694161920	5679045	2631413	2.990351594298209
Sample_PRO1747_PlateH_G6_R2	1624687	715559670	691423708	5679045	5353278	3.373018772843919
Sample_PRO1747_PlateH_G7_R1	2788770	1516489002	1493561799	12035627	6492229	1.5118608159876388
Sample_PRO1747_PlateH_G7_R2	2961968	1516489002	1487768239	12035627	12409652	1.8938985355068205
Sample_PRO1747_PlateH_G8_R1	2093895	1106793324	1091285407	8784074	5106054	1.40115743957993
Sample_PRO1747_PlateH_G8_R2	2212794	1106793324	1088483040	8784074	7836261	1.6543543950758417
Sample_PRO1747_PlateH_G9_R1	1762908	871519320	853484637	6916820	2783261	2.0693382907449487
Sample_PRO1747_PlateH_G9_R2	1840183	871519320	849217637	6916820	7266266	2.5589430421347403
Sample_PRO1747_PlateH_H10_R1	3469880	1714028778	1686669430	13603403	4256933	1.5962012045050975
Sample_PRO1747_PlateH_H10_R2	3550237	1714028778	1679955603	13603403	11009168	1.9878998204311362
Sample_PRO1747_PlateH_H11_R1	3238958	1600965828	1572734864	12706078	3923511	1.7633708044391814
Sample_PRO1747_PlateH_H11_R2	3341145	1600965828	1567279384	12706078	9393493	2.104132606133302
Sample_PRO1747_PlateH_H1_R1	2534675	1263993318	1242444187	10031693	4186238	1.7048453257725211
Sample_PRO1747_PlateH_H1_R2	2645580	1263993318	1238343507	10031693	8224883	2.029267926873645
Sample_PRO1747_PlateH_H2_R1	3095670	1575745290	1553671219	12505915	4683724	1.4008654279398163
Sample_PRO1747_PlateH_H2_R2	3228455	1575745290	1548390327	12505915	9851070	1.736001571675331
Sample_PRO1747_PlateH_H3_R1	2352484	1056888252	1029620711	8388002	4461399	2.57998335665103
Sample_PRO1747_PlateH_H3_R2	2457213	1056888252	1027119945	8388002	6663151	2.8165992898178227
Sample_PRO1747_PlateH_H4_R1	2697727	1200984246	1170035057	9531621	3482817	2.57698542700118
Sample_PRO1747_PlateH_H4_R2	2790965	1200984246	1163303682	9531621	10532096	3.1374736284425833
Sample_PRO1747_PlateH_H5_R1	2563771	1231328700	1200120116	9772450	5006125	2.5345453248998417
Sample_PRO1747_PlateH_H5_R2	2636264	1231328700	1195948067	9772450	9130403	2.873370286910392
Sample_PRO1747_PlateH_H6_R1	2332380	1011915450	973981238	8031075	5182180	3.7487531196405786
Sample_PRO1747_PlateH_H6_R2	2429696	1011915450	972192202	8031075	6505512	3.925550104013137
Sample_PRO1747_PlateH_H7_R1	3239636	1363184802	1311414587	10818927	7112400	3.7977400367173404
Sample_PRO1747_PlateH_H7_R2	3394859	1363184802	1308618023	10818927	10243261	4.002889330921399
Sample_PRO1747_PlateH_H8_R1	3537289	1467024426	1417575344	11643051	4800215	3.3707061125647546
Sample_PRO1747_PlateH_H8_R2	3659261	1467024426	1412172122	11643051	10184509	3.7390177714736974
Sample_PRO1747_PlateH_H9_R1	2662097	1426063842	1408071180	11317967	6503458	1.2617010171694685
Sample_PRO1747_PlateH_H9_R2	2823771	1426063842	1404386712	11317967	10041581	1.5200672902272492
