Sample	Sequence length	total_deduplicated_percentage	adapter_content	basic_statistics	per_base_n_content	per_sequence_quality_scores	Encoding	Total Sequences	Sequences flagged as poor quality	kmer_content	overrepresented_sequences	File type	per_base_sequence_content	sequence_length_distribution	Filename	avg_sequence_length	sequence_duplication_levels	per_sequence_gc_content	per_base_sequence_quality	%GC	per_tile_sequence_quality
Sample_PRO1322_PlateA_E4_R2	125-126	20.366259565391314	warn	pass	pass	pass	Sanger / Illumina 1.9	7075159.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E4_R2.fastq.gz	125.93397971692227	fail	fail	pass	38.0	pass
Sample_PRO1322_PlateA_E5_R1	125-126	25.507658918773213	warn	pass	pass	pass	Sanger / Illumina 1.9	6427758.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E5_R1.fastq.gz	125.94261342757459	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_E5_R2	125-126	25.403907645381384	warn	pass	pass	pass	Sanger / Illumina 1.9	6427758.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E5_R2.fastq.gz	125.94261342757459	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_E6_R1	125-126	30.2768032509406	pass	pass	pass	pass	Sanger / Illumina 1.9	20770127.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E6_R1.fastq.gz	125.91743184815384	fail	pass	pass	33.0	pass
Sample_PRO1322_PlateA_E6_R2	125-126	31.413993211631947	pass	pass	pass	pass	Sanger / Illumina 1.9	20770127.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E6_R2.fastq.gz	125.91743184815384	fail	pass	pass	33.0	pass
Sample_PRO1322_PlateA_E7_R1	125-126	92.37839089467967	pass	pass	pass	pass	Sanger / Illumina 1.9	56143.0	0.0	warn	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E7_R1.fastq.gz	125.92517321838876	pass	pass	pass	35.0	pass
Sample_PRO1322_PlateA_E7_R2	125-126	92.18424380599541	pass	pass	pass	pass	Sanger / Illumina 1.9	56143.0	0.0	warn	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E7_R2.fastq.gz	125.92517321838876	pass	pass	pass	35.0	warn
Sample_PRO1322_PlateA_E8_R1	125-126	29.999244156628542	pass	pass	pass	pass	Sanger / Illumina 1.9	12750078.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E8_R1.fastq.gz	125.91620568909461	fail	pass	pass	33.0	pass
Sample_PRO1322_PlateA_E8_R2	125-126	29.87490504739499	pass	pass	pass	pass	Sanger / Illumina 1.9	12750078.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E8_R2.fastq.gz	125.91620568909461	fail	warn	pass	33.0	pass
Sample_PRO1322_PlateA_E9_R1	125-126	34.77580858439574	pass	pass	pass	pass	Sanger / Illumina 1.9	18467191.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E9_R1.fastq.gz	125.92091266072896	fail	pass	pass	37.0	pass
Sample_PRO1322_PlateA_E9_R2	125-126	35.09602520267093	pass	pass	pass	pass	Sanger / Illumina 1.9	18467191.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_E9_R2.fastq.gz	125.92091266072896	fail	pass	pass	37.0	pass
Sample_PRO1322_PlateA_F10_R1	125-126	33.08955825442307	pass	pass	pass	pass	Sanger / Illumina 1.9	11098236.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F10_R1.fastq.gz	125.93306684053213	fail	pass	fail	35.0	pass
Sample_PRO1322_PlateA_F10_R2	125-126	31.354499358466477	pass	pass	pass	pass	Sanger / Illumina 1.9	11098236.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F10_R2.fastq.gz	125.93306684053213	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_F11_R1	126.0	100.0	pass	pass	pass	warn	Sanger / Illumina 1.9	1.0	0.0	pass	fail	Conventional base calls	fail	pass	Sample_PRO1322_PlateA_F11_R1.fastq.gz	126.0	pass	fail	pass	32.0	
Sample_PRO1322_PlateA_F11_R2	126.0	100.0	pass	pass	pass	fail	Sanger / Illumina 1.9	1.0	0.0	pass	fail	Conventional base calls	fail	pass	Sample_PRO1322_PlateA_F11_R2.fastq.gz	126.0	pass	fail	pass	53.0	
Sample_PRO1322_PlateA_F2_R1	125-126	30.631486191584706	pass	pass	pass	pass	Sanger / Illumina 1.9	7416602.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F2_R1.fastq.gz	125.93187432735368	fail	warn	fail	35.0	pass
Sample_PRO1322_PlateA_F2_R2	125-126	27.405819769276	pass	pass	pass	pass	Sanger / Illumina 1.9	7416602.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F2_R2.fastq.gz	125.93187432735368	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_F3_R1	125-126	25.092977522796367	pass	pass	pass	pass	Sanger / Illumina 1.9	14876295.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F3_R1.fastq.gz	125.91880881630809	fail	pass	fail	33.0	pass
Sample_PRO1322_PlateA_F3_R2	125-126	24.0453847217831	pass	pass	pass	pass	Sanger / Illumina 1.9	14876295.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F3_R2.fastq.gz	125.91880881630809	fail	pass	pass	33.0	pass
Sample_PRO1322_PlateA_F4_R1	125-126	16.646129940493346	warn	pass	pass	pass	Sanger / Illumina 1.9	8307197.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F4_R1.fastq.gz	125.94315687951062	fail	warn	pass	37.0	pass
Sample_PRO1322_PlateA_F4_R2	125-126	16.56819786929498	warn	pass	pass	pass	Sanger / Illumina 1.9	8307197.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F4_R2.fastq.gz	125.94315687951062	fail	warn	pass	37.0	pass
Sample_PRO1322_PlateA_F5_R1	125-126	22.877536086551054	pass	pass	pass	pass	Sanger / Illumina 1.9	14634394.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F5_R1.fastq.gz	125.91432750819747	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_F5_R2	125-126	23.55485182668582	pass	pass	pass	pass	Sanger / Illumina 1.9	14634394.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F5_R2.fastq.gz	125.91432750819747	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_F6_R1	125-126	24.52138684048651	warn	pass	pass	pass	Sanger / Illumina 1.9	9799892.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F6_R1.fastq.gz	125.92710542116178	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_F6_R2	125-126	25.04361361350257	warn	pass	pass	pass	Sanger / Illumina 1.9	9799892.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F6_R2.fastq.gz	125.92710542116178	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_F7_R1	125-126	23.466852928188498	pass	pass	pass	pass	Sanger / Illumina 1.9	6429994.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F7_R1.fastq.gz	125.92043009682435	fail	warn	pass	34.0	pass
Sample_PRO1322_PlateA_F7_R2	125-126	22.105505109125797	pass	pass	pass	pass	Sanger / Illumina 1.9	6429994.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F7_R2.fastq.gz	125.92043009682435	fail	warn	pass	34.0	pass
Sample_PRO1322_PlateA_F8_R1	125-126	37.20464705374571	pass	pass	pass	pass	Sanger / Illumina 1.9	11966460.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F8_R1.fastq.gz	125.92882356185538	fail	pass	pass	33.0	pass
Sample_PRO1322_PlateA_F8_R2	125-126	37.564285232718646	pass	pass	pass	pass	Sanger / Illumina 1.9	11966460.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F8_R2.fastq.gz	125.92882356185538	fail	pass	pass	33.0	pass
Sample_PRO1322_PlateA_F9_R1	125-126	22.860972185390978	pass	pass	pass	pass	Sanger / Illumina 1.9	15071583.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F9_R1.fastq.gz	125.92085874456585	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_F9_R2	125-126	23.18414576395586	pass	pass	pass	pass	Sanger / Illumina 1.9	15071583.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_F9_R2.fastq.gz	125.92085874456585	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_G11_R1	125-126	8.247431954086194	pass	pass	pass	pass	Sanger / Illumina 1.9	39439958.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G11_R1.fastq.gz	125.9209053163799	fail	warn	fail	37.0	pass
Sample_PRO1322_PlateA_G11_R2	125-126	7.879136083050321	pass	pass	pass	pass	Sanger / Illumina 1.9	39439958.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G11_R2.fastq.gz	125.9209053163799	fail	warn	pass	38.0	pass
Sample_PRO1322_PlateA_G1_R1	125-126	29.658106535746736	pass	pass	pass	pass	Sanger / Illumina 1.9	13731270.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G1_R1.fastq.gz	125.925783266952	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_G1_R2	125-126	29.610053247335973	pass	pass	pass	pass	Sanger / Illumina 1.9	13731270.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G1_R2.fastq.gz	125.925783266952	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_G2_R1	125-126	22.65833815919701	pass	pass	pass	pass	Sanger / Illumina 1.9	15614343.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G2_R1.fastq.gz	125.91333935728196	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_G2_R2	125-126	23.5085248734143	pass	pass	pass	pass	Sanger / Illumina 1.9	15614343.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G2_R2.fastq.gz	125.91333935728196	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_G3_R1	125-126	20.867732188613324	pass	pass	pass	pass	Sanger / Illumina 1.9	11685842.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G3_R1.fastq.gz	125.92215460383599	fail	warn	fail	35.0	pass
Sample_PRO1322_PlateA_G3_R2	125-126	19.585538540284062	pass	pass	pass	pass	Sanger / Illumina 1.9	11685842.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G3_R2.fastq.gz	125.92215460383599	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_G4_R1	125-126	19.30930935302238	pass	pass	pass	pass	Sanger / Illumina 1.9	11429874.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G4_R1.fastq.gz	125.96575797773448	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_G4_R2	125-126	19.245294348550264	pass	pass	pass	pass	Sanger / Illumina 1.9	11429874.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G4_R2.fastq.gz	125.96575797773448	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_G6_R1	125-126	24.317499046029397	pass	pass	pass	pass	Sanger / Illumina 1.9	16099369.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G6_R1.fastq.gz	125.91944901691488	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_G6_R2	125-126	25.11912693189247	pass	pass	pass	pass	Sanger / Illumina 1.9	16099369.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G6_R2.fastq.gz	125.91944901691488	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_G7_R1	125-126	83.67241591198247	pass	pass	pass	pass	Sanger / Illumina 1.9	189914.0	0.0	warn	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G7_R1.fastq.gz	125.92631401581768	pass	pass	pass	36.0	pass
Sample_PRO1322_PlateA_G7_R2	125-126	82.66180175426693	pass	pass	pass	pass	Sanger / Illumina 1.9	189914.0	0.0	warn	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G7_R2.fastq.gz	125.92631401581768	pass	pass	pass	36.0	pass
Sample_PRO1322_PlateA_G8_R1	125-126	67.68667787740242	pass	pass	pass	pass	Sanger / Illumina 1.9	3487777.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G8_R1.fastq.gz	125.9130643960322	warn	pass	pass	33.0	pass
Sample_PRO1322_PlateA_G8_R2	125-126	68.0187657971161	pass	pass	pass	pass	Sanger / Illumina 1.9	3487777.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G8_R2.fastq.gz	125.9130643960322	warn	pass	pass	33.0	pass
Sample_PRO1322_PlateA_G9_R1	125-126	25.28240914282674	pass	pass	pass	pass	Sanger / Illumina 1.9	17805978.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G9_R1.fastq.gz	125.90986145214826	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_G9_R2	125-126	26.289277982598026	pass	pass	pass	pass	Sanger / Illumina 1.9	17805978.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_G9_R2.fastq.gz	125.90986145214826	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_H10_R1	125-126	17.92122120758563	warn	pass	pass	pass	Sanger / Illumina 1.9	13655136.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H10_R1.fastq.gz	125.91456870147613	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_H10_R2	125-126	18.833525393346882	warn	pass	pass	pass	Sanger / Illumina 1.9	13655136.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H10_R2.fastq.gz	125.91456870147613	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_H1_R1	125-126	19.90401288670705	warn	pass	pass	pass	Sanger / Illumina 1.9	16536091.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H1_R1.fastq.gz	125.92278683033372	fail	fail	pass	36.0	pass
Sample_PRO1322_PlateA_H1_R2	125-126	20.20881029286809	warn	pass	pass	pass	Sanger / Illumina 1.9	16536091.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H1_R2.fastq.gz	125.92278683033372	fail	fail	pass	36.0	pass
Sample_PRO1322_PlateA_H2_R1	125-126	10.240040937160238	pass	pass	pass	pass	Sanger / Illumina 1.9	15695281.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H2_R1.fastq.gz	125.92345055816459	fail	fail	pass	36.0	pass
Sample_PRO1322_PlateA_H2_R2	125-126	10.756760133190879	pass	pass	pass	pass	Sanger / Illumina 1.9	15695281.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H2_R2.fastq.gz	125.92345055816459	fail	fail	pass	37.0	pass
Sample_PRO1322_PlateA_H3_R1	125-126	22.478042679952807	pass	pass	pass	pass	Sanger / Illumina 1.9	16258907.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H3_R1.fastq.gz	125.9193750231796	fail	warn	pass	34.0	pass
Sample_PRO1322_PlateA_H3_R2	125-126	22.953275723986504	pass	pass	pass	pass	Sanger / Illumina 1.9	16258907.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H3_R2.fastq.gz	125.9193750231796	fail	warn	pass	34.0	pass
Sample_PRO1322_PlateA_H4_R1	125-126	29.11169780618712	pass	pass	pass	pass	Sanger / Illumina 1.9	9308198.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H4_R1.fastq.gz	125.95598095356372	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_H4_R2	125-126	27.60504352120703	pass	pass	pass	pass	Sanger / Illumina 1.9	9308198.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H4_R2.fastq.gz	125.95598095356372	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_H5_R1	125-126	16.88456905167305	warn	pass	pass	pass	Sanger / Illumina 1.9	13501337.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H5_R1.fastq.gz	125.94448920132872	fail	fail	pass	38.0	pass
Sample_PRO1322_PlateA_H5_R2	125-126	17.17955876304614	warn	pass	pass	pass	Sanger / Illumina 1.9	13501337.0	0.0	fail	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H5_R2.fastq.gz	125.94448920132872	fail	fail	pass	38.0	pass
Sample_PRO1322_PlateA_H6_R1	125-126	85.42408788375982	pass	pass	pass	pass	Sanger / Illumina 1.9	117646.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H6_R1.fastq.gz	125.9347194124747	pass	pass	fail	34.0	pass
Sample_PRO1322_PlateA_H6_R2	125-126	84.98376485388368	pass	pass	pass	pass	Sanger / Illumina 1.9	117646.0	0.0	warn	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H6_R2.fastq.gz	125.9347194124747	pass	pass	pass	34.0	warn
Sample_PRO1322_PlateA_H7_R1	125-126	85.08705404647512	pass	pass	pass	pass	Sanger / Illumina 1.9	160742.0	0.0	warn	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H7_R1.fastq.gz	125.92582523547051	pass	pass	pass	36.0	pass
Sample_PRO1322_PlateA_H7_R2	125-126	85.11219443056473	pass	pass	pass	pass	Sanger / Illumina 1.9	160742.0	0.0	warn	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H7_R2.fastq.gz	125.92582523547051	pass	pass	pass	36.0	pass
Sample_PRO1322_PlateA_H8_R1	125-126	50.84988154978366	pass	pass	pass	pass	Sanger / Illumina 1.9	11724222.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H8_R1.fastq.gz	125.92097974603347	warn	warn	pass	35.0	pass
Sample_PRO1322_PlateA_H8_R2	125-126	49.9365782135263	pass	pass	pass	pass	Sanger / Illumina 1.9	11724222.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H8_R2.fastq.gz	125.92097974603347	fail	warn	pass	34.0	warn
Sample_PRO1322_PlateA_H9_R1	125-126	26.391574417011377	pass	pass	pass	pass	Sanger / Illumina 1.9	10583820.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H9_R1.fastq.gz	125.91414649909012	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_H9_R2	125-126	26.75034104186167	pass	pass	pass	pass	Sanger / Illumina 1.9	10583820.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_H9_R2.fastq.gz	125.91414649909012	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateB_A10_R1	125-126	19.944867802052396	pass	pass	pass	pass	Sanger / Illumina 1.9	10910241.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A10_R1.fastq.gz	125.92104894841461	fail	warn	pass	36.0	pass
Sample_PRO1322_PlateB_A10_R2	125-126	19.88602520566364	pass	pass	pass	pass	Sanger / Illumina 1.9	10910241.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A10_R2.fastq.gz	125.92104894841461	fail	warn	pass	36.0	pass
Sample_PRO1322_PlateB_A11_R1	125-126	97.11538461538461	pass	pass	pass	pass	Sanger / Illumina 1.9	104.0	0.0	pass	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A11_R1.fastq.gz	125.96153846153847	pass	fail	pass	36.0	pass
Sample_PRO1322_PlateB_A11_R2	125-126	98.07692307692307	pass	pass	pass	pass	Sanger / Illumina 1.9	104.0	0.0	pass	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A11_R2.fastq.gz	125.96153846153847	pass	fail	pass	36.0	pass
Sample_PRO1322_PlateB_A12_R1	125-126	19.04753678914141	pass	pass	pass	pass	Sanger / Illumina 1.9	15361119.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A12_R1.fastq.gz	125.9190353905858	fail	pass	fail	35.0	pass
Sample_PRO1322_PlateB_A12_R2	125-126	18.519050455968365	pass	pass	pass	pass	Sanger / Illumina 1.9	15361119.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A12_R2.fastq.gz	125.9190353905858	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateB_A1_R1	126.0	100.0	pass	pass	pass	pass	Sanger / Illumina 1.9	1.0	0.0	pass	fail	Conventional base calls	fail	pass	Sample_PRO1322_PlateB_A1_R1.fastq.gz	126.0	pass	fail	pass	26.0	
Sample_PRO1322_PlateB_A1_R2	126.0	100.0	pass	pass	pass	pass	Sanger / Illumina 1.9	1.0	0.0	pass	fail	Conventional base calls	fail	pass	Sample_PRO1322_PlateB_A1_R2.fastq.gz	126.0	pass	fail	pass	22.0	
Sample_PRO1322_PlateB_A2_R1	125-126	17.9232177830693	pass	pass	pass	pass	Sanger / Illumina 1.9	18474478.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A2_R1.fastq.gz	125.91520940402214	fail	warn	pass	36.0	pass
Sample_PRO1322_PlateB_A2_R2	125-126	18.96821063698941	pass	pass	pass	pass	Sanger / Illumina 1.9	18474478.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A2_R2.fastq.gz	125.91520940402214	fail	warn	pass	36.0	pass
Sample_PRO1322_PlateB_A3_R1	125-126	90.82877053260329	pass	pass	pass	pass	Sanger / Illumina 1.9	8036.0	0.0	pass	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A3_R1.fastq.gz	125.90853658536585	pass	warn	pass	34.0	warn
Sample_PRO1322_PlateB_A3_R2	125-126	91.23942259830761	pass	pass	pass	pass	Sanger / Illumina 1.9	8036.0	0.0	pass	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A3_R2.fastq.gz	125.90853658536585	pass	pass	pass	34.0	warn
Sample_PRO1322_PlateB_A4_R1	125-126	22.66840521176178	pass	pass	pass	pass	Sanger / Illumina 1.9	8382180.0	0.0	fail	warn	Conventional base calls	warn	warn	Sample_PRO1322_PlateB_A4_R1.fastq.gz	125.93944725596444	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateB_A4_R2	125-126	22.021314762972015	pass	pass	pass	pass	Sanger / Illumina 1.9	8382180.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A4_R2.fastq.gz	125.93944725596444	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateB_A5_R1	125-126	81.04856676073074	warn	pass	pass	pass	Sanger / Illumina 1.9	20199.0	0.0	warn	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A5_R1.fastq.gz	125.93757116688946	pass	warn	pass	35.0	warn
Sample_PRO1322_PlateB_A5_R2	125-126	81.17728600425764	warn	pass	pass	pass	Sanger / Illumina 1.9	20199.0	0.0	warn	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A5_R2.fastq.gz	125.93757116688946	pass	warn	pass	36.0	warn
Sample_PRO1322_PlateB_A6_R1	125-126	26.816672486891118	pass	pass	pass	pass	Sanger / Illumina 1.9	17388939.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A6_R1.fastq.gz	125.91918052044464	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateB_A6_R2	125-126	25.85305082112011	pass	pass	pass	pass	Sanger / Illumina 1.9	17388939.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A6_R2.fastq.gz	125.91918052044464	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateB_A8_R1	126.0	100.0	fail	pass	pass	pass	Sanger / Illumina 1.9	18.0	0.0	pass	fail	Conventional base calls	fail	pass	Sample_PRO1322_PlateB_A8_R1.fastq.gz	126.0	pass	fail	pass	35.0	pass
Sample_PRO1322_PlateB_A8_R2	126.0	100.0	fail	pass	pass	pass	Sanger / Illumina 1.9	18.0	0.0	pass	fail	Conventional base calls	fail	pass	Sample_PRO1322_PlateB_A8_R2.fastq.gz	126.0	pass	fail	pass	35.0	pass
Sample_PRO1322_PlateB_A9_R1	125-126	30.400269199181075	pass	pass	pass	pass	Sanger / Illumina 1.9	16979475.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A9_R1.fastq.gz	125.92069813701542	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateB_A9_R2	125-126	30.599417608064726	pass	pass	pass	pass	Sanger / Illumina 1.9	16979475.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_A9_R2.fastq.gz	125.92069813701542	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateB_B10_R1	125-126	24.584610728300454	pass	pass	pass	pass	Sanger / Illumina 1.9	17589917.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_B10_R1.fastq.gz	125.91210419014485	fail	pass	pass	38.0	pass
Sample_PRO1322_PlateB_B10_R2	125-126	25.562943032504677	pass	pass	pass	pass	Sanger / Illumina 1.9	17589917.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_B10_R2.fastq.gz	125.91210419014485	fail	pass	pass	38.0	pass
Sample_PRO1322_PlateB_B11_R1	125-126	31.22790642752895	pass	pass	pass	pass	Sanger / Illumina 1.9	11327338.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_B11_R1.fastq.gz	125.93587725553877	fail	pass	fail	36.0	pass
Sample_PRO1322_PlateB_B11_R2	125-126	29.90463274139038	pass	pass	pass	pass	Sanger / Illumina 1.9	11327338.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_B11_R2.fastq.gz	125.93587725553877	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateB_B12_R1	125-126	35.499952179385055	warn	pass	pass	pass	Sanger / Illumina 1.9	13544896.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_B12_R1.fastq.gz	125.92037805236747	fail	warn	fail	35.0	pass
Sample_PRO1322_PlateB_B12_R2	125-126	34.5992966034673	warn	pass	pass	pass	Sanger / Illumina 1.9	13544896.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_B12_R2.fastq.gz	125.92037805236747	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateB_B1_R1	125-126	30.038765749832468	pass	pass	pass	pass	Sanger / Illumina 1.9	4093856.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateB_B1_R1.fastq.gz	125.93937842464415	fail	pass	fail	34.0	pass
