Sample	adapter_content	per_sequence_quality_scores	basic_statistics	Total Sequences	File type	per_sequence_gc_content	Filename	per_base_n_content	Sequences flagged as poor quality	per_base_sequence_quality	%GC	sequence_duplication_levels	sequence_length_distribution	total_deduplicated_percentage	per_tile_sequence_quality	per_base_sequence_content	avg_sequence_length	Sequence length	Encoding	kmer_content	overrepresented_sequences
Sample_IPO3916_E3_R2	fail	pass	pass	6941557.0	Conventional base calls	pass	Sample_IPO3916_E3_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	49.05470632331568	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_E4_R1	fail	pass	pass	4727518.0	Conventional base calls	pass	Sample_IPO3916_E4_R1.fastq.gz	pass	0.0	pass	40.0	fail	pass	33.19226355789893	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_E4_R2	fail	pass	pass	4727518.0	Conventional base calls	warn	Sample_IPO3916_E4_R2.fastq.gz	pass	0.0	fail	40.0	fail	pass	33.85133209452411	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_E5_R1	fail	pass	pass	4790452.0	Conventional base calls	pass	Sample_IPO3916_E5_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	37.94552675376933	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_E5_R2	fail	pass	pass	4790452.0	Conventional base calls	pass	Sample_IPO3916_E5_R2.fastq.gz	pass	0.0	fail	38.0	fail	pass	38.69347851235929	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_E6_R1	warn	pass	pass	2637023.0	Conventional base calls	pass	Sample_IPO3916_E6_R1.fastq.gz	pass	0.0	pass	36.0	warn	pass	55.176332681844976	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_E6_R2	warn	pass	pass	2637023.0	Conventional base calls	pass	Sample_IPO3916_E6_R2.fastq.gz	pass	0.0	fail	36.0	warn	pass	55.966729146665436	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_E7_R1	warn	pass	pass	5699549.0	Conventional base calls	pass	Sample_IPO3916_E7_R1.fastq.gz	pass	0.0	pass	37.0	warn	pass	51.600477158920896	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_E7_R2	warn	pass	pass	5699549.0	Conventional base calls	pass	Sample_IPO3916_E7_R2.fastq.gz	pass	0.0	pass	37.0	warn	pass	51.80213678861657	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_E8_R1	fail	pass	pass	3309640.0	Conventional base calls	pass	Sample_IPO3916_E8_R1.fastq.gz	pass	0.0	pass	36.0	fail	pass	49.19606668488226	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_E8_R2	fail	pass	pass	3309640.0	Conventional base calls	pass	Sample_IPO3916_E8_R2.fastq.gz	pass	0.0	pass	36.0	fail	pass	49.65437115665041	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_E9_R1	warn	pass	pass	3862110.0	Conventional base calls	pass	Sample_IPO3916_E9_R1.fastq.gz	pass	0.0	pass	38.0	warn	pass	52.81124105877307	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_E9_R2	warn	pass	pass	3862110.0	Conventional base calls	pass	Sample_IPO3916_E9_R2.fastq.gz	pass	0.0	pass	38.0	warn	pass	53.10465822259184	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_F10_R1	warn	pass	pass	7747772.0	Conventional base calls	pass	Sample_IPO3916_F10_R1.fastq.gz	pass	0.0	pass	37.0	warn	pass	50.36114777354504	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_F10_R2	warn	pass	pass	7747772.0	Conventional base calls	pass	Sample_IPO3916_F10_R2.fastq.gz	pass	0.0	pass	37.0	warn	pass	50.71325712083748	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_F11_R1	fail	pass	pass	7654058.0	Conventional base calls	fail	Sample_IPO3916_F11_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	31.440324437814688	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_F11_R2	fail	pass	pass	7654058.0	Conventional base calls	fail	Sample_IPO3916_F11_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	32.23669101093504	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_F12_R1	warn	pass	pass	9791100.0	Conventional base calls	pass	Sample_IPO3916_F12_R1.fastq.gz	pass	0.0	pass	36.0	fail	pass	42.333430840535016	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_F12_R2	warn	pass	pass	9791100.0	Conventional base calls	pass	Sample_IPO3916_F12_R2.fastq.gz	pass	0.0	pass	36.0	fail	pass	42.87204653420308	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_F1_R1	warn	pass	pass	15833217.0	Conventional base calls	pass	Sample_IPO3916_F1_R1.fastq.gz	pass	0.0	pass	33.0	fail	pass	25.61324390081714	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_F1_R2	warn	pass	pass	15833217.0	Conventional base calls	pass	Sample_IPO3916_F1_R2.fastq.gz	pass	0.0	pass	34.0	fail	pass	25.809041379296353	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_F2_R1	fail	pass	pass	4763228.0	Conventional base calls	warn	Sample_IPO3916_F2_R1.fastq.gz	pass	0.0	pass	39.0	warn	pass	63.429399403800936	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_F2_R2	fail	pass	pass	4763228.0	Conventional base calls	warn	Sample_IPO3916_F2_R2.fastq.gz	pass	0.0	fail	39.0	warn	pass	63.95646327584766	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_F3_R1	fail	pass	pass	4020869.0	Conventional base calls	pass	Sample_IPO3916_F3_R1.fastq.gz	pass	0.0	pass	36.0	warn	pass	57.414812015366564	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_F3_R2	fail	pass	pass	4020869.0	Conventional base calls	pass	Sample_IPO3916_F3_R2.fastq.gz	pass	0.0	fail	36.0	warn	pass	57.97975978096829	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_F4_R1	fail	pass	pass	4972483.0	Conventional base calls	warn	Sample_IPO3916_F4_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	29.03286917082537	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_F4_R2	fail	pass	pass	4972483.0	Conventional base calls	warn	Sample_IPO3916_F4_R2.fastq.gz	pass	0.0	pass	37.0	fail	pass	29.34329541763111	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_F5_R1	fail	pass	pass	2589.0	Conventional base calls	pass	Sample_IPO3916_F5_R1.fastq.gz	pass	0.0	fail	38.0	pass	pass	93.12475859405176	fail	fail	126.0	126.0	Sanger / Illumina 1.9	pass	fail
Sample_IPO3916_F5_R2	fail	pass	pass	2589.0	Conventional base calls	warn	Sample_IPO3916_F5_R2.fastq.gz	pass	0.0	fail	38.0	pass	pass	94.16763229045964	fail	fail	126.0	126.0	Sanger / Illumina 1.9	pass	fail
Sample_IPO3916_F6_R1	fail	pass	pass	4728786.0	Conventional base calls	warn	Sample_IPO3916_F6_R1.fastq.gz	pass	0.0	fail	36.0	fail	pass	45.29266838690466	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_F6_R2	fail	pass	pass	4728786.0	Conventional base calls	warn	Sample_IPO3916_F6_R2.fastq.gz	pass	0.0	fail	36.0	fail	pass	45.821571483957094	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_F7_R1	fail	pass	pass	8480013.0	Conventional base calls	pass	Sample_IPO3916_F7_R1.fastq.gz	pass	0.0	pass	36.0	fail	pass	37.47624608139335	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_F7_R2	fail	pass	pass	8480013.0	Conventional base calls	pass	Sample_IPO3916_F7_R2.fastq.gz	pass	0.0	pass	36.0	fail	pass	37.239318406816594	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_F8_R1	warn	pass	pass	7812852.0	Conventional base calls	pass	Sample_IPO3916_F8_R1.fastq.gz	pass	0.0	pass	36.0	warn	pass	51.02095414610067	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_F8_R2	warn	pass	pass	7812852.0	Conventional base calls	pass	Sample_IPO3916_F8_R2.fastq.gz	pass	0.0	fail	36.0	warn	pass	51.73193958421739	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_F9_R1	fail	pass	pass	7222703.0	Conventional base calls	warn	Sample_IPO3916_F9_R1.fastq.gz	pass	0.0	pass	36.0	fail	pass	40.52289458855615	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_F9_R2	fail	pass	pass	7222703.0	Conventional base calls	warn	Sample_IPO3916_F9_R2.fastq.gz	pass	0.0	fail	36.0	fail	pass	40.772393011728454	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_G10_R1	fail	pass	pass	146898375.0	Conventional base calls	pass	Sample_IPO3916_G10_R1.fastq.gz	pass	0.0	fail	39.0	fail	pass	40.11339816418072	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_G10_R2	fail	pass	pass	146898375.0	Conventional base calls	pass	Sample_IPO3916_G10_R2.fastq.gz	pass	0.0	fail	39.0	fail	pass	39.76270120681616	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_G11_R1	pass	pass	pass	11730543.0	Conventional base calls	fail	Sample_IPO3916_G11_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	9.068544733189684	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G11_R2	pass	pass	pass	11730543.0	Conventional base calls	fail	Sample_IPO3916_G11_R2.fastq.gz	pass	0.0	pass	38.0	fail	pass	9.750040939095475	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_G12_R1	fail	pass	pass	66406439.0	Conventional base calls	pass	Sample_IPO3916_G12_R1.fastq.gz	pass	0.0	fail	39.0	fail	pass	41.35942366446365	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G12_R2	fail	pass	pass	66406439.0	Conventional base calls	pass	Sample_IPO3916_G12_R2.fastq.gz	pass	0.0	fail	39.0	fail	pass	40.97849645891979	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G1_R1	fail	pass	pass	24735666.0	Conventional base calls	warn	Sample_IPO3916_G1_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	47.964360182539075	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G1_R2	fail	pass	pass	24735666.0	Conventional base calls	warn	Sample_IPO3916_G1_R2.fastq.gz	pass	0.0	fail	39.0	fail	pass	48.35929180959507	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G2_R1	fail	pass	pass	11740055.0	Conventional base calls	pass	Sample_IPO3916_G2_R1.fastq.gz	pass	0.0	pass	38.0	warn	pass	57.649930145159836	pass	warn	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G2_R2	fail	pass	pass	11740055.0	Conventional base calls	pass	Sample_IPO3916_G2_R2.fastq.gz	pass	0.0	fail	39.0	warn	pass	57.98222363996246	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G3_R1	fail	pass	pass	5270511.0	Conventional base calls	warn	Sample_IPO3916_G3_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	29.35264441702107	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G3_R2	fail	pass	pass	5270511.0	Conventional base calls	warn	Sample_IPO3916_G3_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	30.07896134125194	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G4_R1	fail	pass	pass	8550252.0	Conventional base calls	pass	Sample_IPO3916_G4_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	27.17049413452107	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G4_R2	fail	pass	pass	8550252.0	Conventional base calls	pass	Sample_IPO3916_G4_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	28.22688977482747	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G5_R1	fail	pass	pass	47735421.0	Conventional base calls	warn	Sample_IPO3916_G5_R1.fastq.gz	pass	0.0	fail	40.0	fail	pass	44.21668609355324	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G5_R2	fail	pass	pass	47735421.0	Conventional base calls	warn	Sample_IPO3916_G5_R2.fastq.gz	pass	0.0	fail	40.0	fail	pass	43.624294258118354	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G6_R1	fail	pass	pass	5399894.0	Conventional base calls	fail	Sample_IPO3916_G6_R1.fastq.gz	pass	0.0	pass	38.0	warn	pass	51.64909816221738	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G6_R2	fail	pass	pass	5399894.0	Conventional base calls	fail	Sample_IPO3916_G6_R2.fastq.gz	pass	0.0	fail	38.0	warn	pass	52.33736143525819	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G7_R1	fail	pass	pass	10848896.0	Conventional base calls	pass	Sample_IPO3916_G7_R1.fastq.gz	pass	0.0	pass	39.0	fail	pass	47.003660277508374	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G7_R2	fail	pass	pass	10848896.0	Conventional base calls	pass	Sample_IPO3916_G7_R2.fastq.gz	pass	0.0	fail	39.0	fail	pass	47.23245905327506	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G8_R1	warn	pass	pass	4595090.0	Conventional base calls	pass	Sample_IPO3916_G8_R1.fastq.gz	pass	0.0	pass	36.0	warn	pass	60.27664827744814	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G8_R2	warn	pass	pass	4595090.0	Conventional base calls	pass	Sample_IPO3916_G8_R2.fastq.gz	pass	0.0	pass	36.0	warn	pass	60.95685875306502	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G9_R1	warn	pass	pass	9151331.0	Conventional base calls	pass	Sample_IPO3916_G9_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	34.89896723786884	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_G9_R2	warn	pass	pass	9151331.0	Conventional base calls	pass	Sample_IPO3916_G9_R2.fastq.gz	pass	0.0	pass	37.0	fail	pass	34.97683937874634	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H10_R1	fail	pass	pass	10387063.0	Conventional base calls	pass	Sample_IPO3916_H10_R1.fastq.gz	pass	0.0	pass	36.0	fail	pass	30.256240117628032	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_H10_R2	fail	pass	pass	10387063.0	Conventional base calls	pass	Sample_IPO3916_H10_R2.fastq.gz	pass	0.0	fail	36.0	fail	pass	30.68620666752705	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H11_R1	fail	pass	pass	218441526.0	Conventional base calls	pass	Sample_IPO3916_H11_R1.fastq.gz	pass	0.0	fail	42.0	fail	pass	34.653375938633694	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_H11_R2	fail	pass	pass	218441526.0	Conventional base calls	pass	Sample_IPO3916_H11_R2.fastq.gz	pass	0.0	fail	42.0	fail	pass	33.86787818188354	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_H12_R1	fail	pass	pass	258893078.0	Conventional base calls	warn	Sample_IPO3916_H12_R1.fastq.gz	pass	0.0	fail	40.0	fail	pass	25.532219741587685	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H12_R2	fail	pass	pass	258893078.0	Conventional base calls	warn	Sample_IPO3916_H12_R2.fastq.gz	pass	0.0	fail	40.0	fail	pass	24.5841154662903	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H1_R1	fail	pass	pass	5902401.0	Conventional base calls	pass	Sample_IPO3916_H1_R1.fastq.gz	pass	0.0	pass	39.0	fail	pass	43.74468173376054	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H1_R2	fail	pass	pass	5902401.0	Conventional base calls	pass	Sample_IPO3916_H1_R2.fastq.gz	pass	0.0	fail	39.0	fail	pass	44.36489811112794	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H2_R1	fail	pass	pass	2838331.0	Conventional base calls	warn	Sample_IPO3916_H2_R1.fastq.gz	pass	0.0	pass	39.0	fail	pass	22.709330171855232	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H2_R2	fail	pass	pass	2838331.0	Conventional base calls	fail	Sample_IPO3916_H2_R2.fastq.gz	pass	0.0	fail	39.0	fail	pass	23.026529172470706	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H3_R1	fail	pass	pass	6354657.0	Conventional base calls	warn	Sample_IPO3916_H3_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	46.21482028196648	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H3_R2	fail	pass	pass	6354657.0	Conventional base calls	warn	Sample_IPO3916_H3_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	46.97611471632025	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H4_R1	fail	pass	pass	6349787.0	Conventional base calls	pass	Sample_IPO3916_H4_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	37.60353417444416	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H4_R2	fail	pass	pass	6349787.0	Conventional base calls	pass	Sample_IPO3916_H4_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	37.84551241530051	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H5_R1	fail	pass	pass	4357778.0	Conventional base calls	warn	Sample_IPO3916_H5_R1.fastq.gz	pass	0.0	pass	40.0	fail	pass	32.29994988951554	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H5_R2	fail	pass	pass	4357778.0	Conventional base calls	warn	Sample_IPO3916_H5_R2.fastq.gz	pass	0.0	fail	40.0	fail	pass	33.38061863847297	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H6_R1	fail	pass	pass	6087978.0	Conventional base calls	fail	Sample_IPO3916_H6_R1.fastq.gz	pass	0.0	pass	37.0	warn	pass	50.33339894722106	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_H6_R2	fail	pass	pass	6087978.0	Conventional base calls	fail	Sample_IPO3916_H6_R2.fastq.gz	pass	0.0	fail	37.0	warn	pass	50.85417773062536	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3916_H7_R1	fail	pass	pass	7767382.0	Conventional base calls	pass	Sample_IPO3916_H7_R1.fastq.gz	pass	0.0	pass	39.0	fail	pass	44.610318262593545	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_H7_R2	fail	pass	pass	7767382.0	Conventional base calls	pass	Sample_IPO3916_H7_R2.fastq.gz	pass	0.0	fail	39.0	fail	pass	44.843844735678296	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_H8_R1	warn	pass	pass	4249492.0	Conventional base calls	pass	Sample_IPO3916_H8_R1.fastq.gz	pass	0.0	pass	37.0	warn	pass	63.38158536975232	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H8_R2	warn	pass	pass	4249492.0	Conventional base calls	pass	Sample_IPO3916_H8_R2.fastq.gz	pass	0.0	pass	37.0	warn	pass	63.690156365969194	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H9_R1	fail	pass	pass	3710857.0	Conventional base calls	pass	Sample_IPO3916_H9_R1.fastq.gz	pass	0.0	pass	37.0	warn	pass	50.66051445515238	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_H9_R2	fail	pass	pass	3710857.0	Conventional base calls	pass	Sample_IPO3916_H9_R2.fastq.gz	pass	0.0	fail	38.0	warn	pass	51.455740124184814	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3917_A10_R1	warn	pass	pass	3488656.0	Conventional base calls	pass	Sample_IPO3917_A10_R1.fastq.gz	pass	0.0	pass	38.0	warn	pass	51.86559201763114	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3917_A10_R2	warn	pass	pass	3488656.0	Conventional base calls	pass	Sample_IPO3917_A10_R2.fastq.gz	pass	0.0	pass	38.0	warn	pass	52.47250322741554	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3917_A11_R1	warn	pass	pass	8264179.0	Conventional base calls	pass	Sample_IPO3917_A11_R1.fastq.gz	pass	0.0	pass	37.0	warn	pass	53.21962432852554	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3917_A11_R2	warn	pass	pass	8264179.0	Conventional base calls	pass	Sample_IPO3917_A11_R2.fastq.gz	pass	0.0	pass	37.0	warn	pass	53.29366460585552	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3917_A12_R1	warn	pass	pass	9080892.0	Conventional base calls	pass	Sample_IPO3917_A12_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	35.48480658887569	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3917_A12_R2	warn	pass	pass	9080892.0	Conventional base calls	pass	Sample_IPO3917_A12_R2.fastq.gz	pass	0.0	pass	37.0	fail	pass	35.36049185630755	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3917_A1_R1	fail	pass	pass	9506560.0	Conventional base calls	pass	Sample_IPO3917_A1_R1.fastq.gz	pass	0.0	pass	39.0	fail	pass	41.091855207227766	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3917_A1_R2	fail	pass	pass	9506560.0	Conventional base calls	pass	Sample_IPO3917_A1_R2.fastq.gz	pass	0.0	fail	39.0	fail	pass	41.0740668893391	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3917_A2_R1	warn	pass	pass	13518101.0	Conventional base calls	pass	Sample_IPO3917_A2_R1.fastq.gz	pass	0.0	pass	38.0	fail	pass	28.11366727057913	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3917_A2_R2	warn	pass	pass	13518101.0	Conventional base calls	pass	Sample_IPO3917_A2_R2.fastq.gz	pass	0.0	pass	38.0	fail	pass	27.46491054931004	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3917_A3_R1	warn	pass	pass	4325736.0	Conventional base calls	pass	Sample_IPO3917_A3_R1.fastq.gz	pass	0.0	pass	36.0	warn	pass	61.534637060443266	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3917_A3_R2	warn	pass	pass	4325736.0	Conventional base calls	pass	Sample_IPO3917_A3_R2.fastq.gz	pass	0.0	pass	36.0	warn	pass	61.33461318700005	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3917_A4_R1	warn	pass	pass	5661820.0	Conventional base calls	pass	Sample_IPO3917_A4_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	43.37200042599922	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3917_A4_R2	warn	pass	pass	5661820.0	Conventional base calls	pass	Sample_IPO3917_A4_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	43.56527606123518	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3917_A5_R1	fail	pass	pass	31007856.0	Conventional base calls	pass	Sample_IPO3917_A5_R1.fastq.gz	pass	0.0	fail	38.0	fail	pass	41.82201641928242	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3917_A5_R2	fail	pass	pass	31007856.0	Conventional base calls	fail	Sample_IPO3917_A5_R2.fastq.gz	pass	0.0	fail	39.0	fail	pass	40.71270215572713	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	fail
Sample_IPO3917_A6_R1	pass	pass	pass	12194349.0	Conventional base calls	pass	Sample_IPO3917_A6_R1.fastq.gz	pass	0.0	pass	35.0	fail	pass	28.228764831075882	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3917_A6_R2	pass	pass	pass	12194349.0	Conventional base calls	pass	Sample_IPO3917_A6_R2.fastq.gz	pass	0.0	fail	35.0	fail	pass	28.15775409579453	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3917_A7_R1	fail	pass	pass	31364100.0	Conventional base calls	pass	Sample_IPO3917_A7_R1.fastq.gz	pass	0.0	fail	40.0	warn	pass	51.03338186617245	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3917_A7_R2	fail	pass	pass	31364100.0	Conventional base calls	pass	Sample_IPO3917_A7_R2.fastq.gz	pass	0.0	fail	40.0	warn	pass	50.1319190474748	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3917_A8_R1	warn	pass	pass	9158127.0	Conventional base calls	fail	Sample_IPO3917_A8_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	35.50846747829523	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3917_A8_R2	warn	pass	pass	9158127.0	Conventional base calls	fail	Sample_IPO3917_A8_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	35.80486582466273	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3917_A9_R1	warn	pass	pass	14423010.0	Conventional base calls	pass	Sample_IPO3917_A9_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	43.425547896265996	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
