Sample	percent_trimmed	bp_processed	r_processed	r_with_adapters	bp_written	quality_trimmed
Sample_IPO3916_F3_R1	8.172521436345749	506629494	4020869	1516960	465225090	6996082
Sample_IPO3916_F3_R2	8.847749791685047	506629494	4020869	1528648	461804184	11602702
Sample_IPO3916_F4_R1	6.0209546104922715	626532858	4972483	1697852	588809599	6677594
Sample_IPO3916_F4_R2	6.670451751470631	626532858	4972483	1733270	584740286	11713758
Sample_IPO3916_F5_R1	8.499022114317595	326214	2589	924	298489	8745
Sample_IPO3916_F5_R2	17.824189029287524	326214	2589	820	268069	42932
Sample_IPO3916_F6_R1	7.001534754122838	595827036	4728786	1511061	554109999	14838325
Sample_IPO3916_F6_R2	7.464596823028352	595827036	4728786	1543563	551350950	18423597
Sample_IPO3916_F7_R1	5.843209913917117	1068481638	8480013	2808422	1006048013	13946393
Sample_IPO3916_F7_R2	6.259637659772306	1068481638	8480013	2872027	1001598559	19564795
Sample_IPO3916_F8_R1	4.724253836082654	984419352	7812852	2440143	937912883	10907211
Sample_IPO3916_F8_R2	5.8046353806340045	984419352	7812852	2479962	927277398	22804590
Sample_IPO3916_F9_R1	6.705053100322295	910060578	7222703	2398070	849040533	14934322
Sample_IPO3916_F9_R2	7.208840772355705	910060578	7222703	2436334	844455760	20848545
Sample_IPO3916_G10_R1	16.704583642014363	18509195250	146898375	90694127	15417311248	214126004
Sample_IPO3916_G10_R2	17.247695401559934	18509195250	146898375	90701654	15316785632	395520686
Sample_IPO3916_G11_R1	2.4454187399969194	1478048418	11730543	3230808	1441903945	11661020
Sample_IPO3916_G11_R2	3.399417257791077	1478048418	11730543	3326426	1427803385	26360879
Sample_IPO3916_G12_R1	18.50330009485404	8367211314	66406439	42297963	6819001095	125017124
Sample_IPO3916_G12_R2	18.91757454902017	8367211314	66406439	42352503	6784337876	188886662
Sample_IPO3916_G1_R1	12.691073928351711	3116693916	24735666	12214312	2721151987	42579105
Sample_IPO3916_G1_R2	13.394119321661357	3116693916	24735666	12258839	2699240214	77334203
Sample_IPO3916_G2_R1	12.845249913751722	1479246930	11740055	5918531	1289233965	17677869
Sample_IPO3916_G2_R2	13.332734515122501	1479246930	11740055	5942833	1282022864	29891998
Sample_IPO3916_G3_R1	5.545791435005972	664084386	5270511	1734165	627255651	7723793
Sample_IPO3916_G3_R2	6.350185893393373	664084386	5270511	1768057	621913793	14038923
Sample_IPO3916_G4_R1	6.1906083131948755	1077331752	8550252	2986357	1010638363	11770213
Sample_IPO3916_G4_R2	7.414463822467937	1077331752	8550252	3026979	997453379	27343172
Sample_IPO3916_G5_R1	16.52808410707435	6014663046	47735421	27943577	5020554479	86903611
Sample_IPO3916_G5_R2	16.800271125279593	6014663046	47735421	28136148	5004183347	114158894
Sample_IPO3916_G6_R1	7.49225950414159	680386644	5399894	1990937	629410311	8997964
Sample_IPO3916_G6_R2	8.41114320874294	680386644	5399894	2012368	623158349	16821563
Sample_IPO3916_G7_R1	6.674427283690198	1366960896	10848896	3970410	1275724085	18058407
Sample_IPO3916_G7_R2	7.351553456581102	1366960896	10848896	4044550	1266468035	29443353
Sample_IPO3916_G8_R1	4.7474156939151095	578981340	4595090	1426021	551494689	6393831
Sample_IPO3916_G8_R2	5.601238202253634	578981340	4595090	1453791	546551216	11990765
Sample_IPO3916_G9_R1	4.835333147384149	1153067706	9151331	2802247	1097313041	16790172
Sample_IPO3916_G9_R2	5.263555789845354	1153067706	9151331	2875177	1092375344	22577554
Sample_IPO3916_H10_R1	6.318971699974973	1308769938	10387063	3429719	1226069136	17915933
Sample_IPO3916_H10_R2	6.984364810494295	1308769938	10387063	3522323	1217360671	28529823
Sample_IPO3916_H11_R1	18.284024450465303	27523632276	218441526	144882578	22491204621	320178172
Sample_IPO3916_H11_R2	18.77058704023212	27523632276	218441526	144827507	22357284923	551508236
Sample_IPO3916_H12_R1	20.08176948435857	32620527828	258893078	180392787	26069748625	455244679
Sample_IPO3916_H12_R2	20.385287295357983	32620527828	258893078	180320790	25970739513	651766645
Sample_IPO3916_H1_R1	10.666987031317412	743702526	5902401	2700468	664371874	8135333
Sample_IPO3916_H1_R2	11.423250026718344	743702526	5902401	2719026	658747527	16104856
Sample_IPO3916_H2_R1	7.118378191995046	357629706	2838331	1073215	332172271	3002629
Sample_IPO3916_H2_R2	8.18312503380242	357629706	2838331	1085170	328364420	7684095
Sample_IPO3916_H3_R1	6.917211354689255	800686782	6354657	2228935	745301585	12283810
Sample_IPO3916_H3_R2	7.7635867604468585	800686782	6354657	2263206	738524769	20501302
Sample_IPO3916_H4_R1	5.554809623772882	800073162	6349787	2075501	755630621	11529317
Sample_IPO3916_H4_R2	6.189714685117759	800073162	6349787	2106299	750550916	17618777
Sample_IPO3916_H5_R1	8.909080918164447	549080028	4357778	1795395	500162044	6854979
Sample_IPO3916_H5_R2	10.057723498185588	549080028	4357778	1807450	493855077	14942621
Sample_IPO3916_H6_R1	10.241489358989456	767085228	6087978	2552501	688524276	12203334
Sample_IPO3916_H6_R2	10.881801911064828	767085228	6087978	2563463	683612533	19568405
Sample_IPO3916_H7_R1	6.066591463292694	978690132	7767382	2715435	919317000	12464004
Sample_IPO3916_H7_R2	6.636671902195086	978690132	7767382	2770481	913737679	19233376
Sample_IPO3916_H8_R1	3.779901669367045	535435992	4249492	1233863	515197038	6697752
Sample_IPO3916_H8_R2	4.37436488206792	535435992	4249492	1263843	512014068	10203084
Sample_IPO3916_H9_R1	5.681887559187062	467567982	3710857	1256343	441001295	5344536
Sample_IPO3916_H9_R2	6.670366920034315	467567982	3710857	1276504	436379482	10688257
Sample_IPO3917_A10_R1	3.4016017211121574	439570656	3488656	1051898	424618213	4226422
Sample_IPO3917_A10_R2	4.738074463278095	439570656	3488656	1073202	418743471	10778827
Sample_IPO3917_A11_R1	3.9289243525562707	1041286554	8264179	2506273	1000375193	12563615
Sample_IPO3917_A11_R2	4.7607132551142115	1041286554	8264179	2552072	991713887	22623526
Sample_IPO3917_A12_R1	3.5416130436916946	1144192392	9080892	2543922	1103669525	15406751
Sample_IPO3917_A12_R2	4.237981508969866	1144192392	9080892	2607277	1095701730	24546473
Sample_IPO3917_A1_R1	7.455529204495182	1197826560	9506560	3776796	1108522251	16748601
Sample_IPO3917_A1_R2	8.12210943126858	1197826560	9506560	3824357	1100537776	29409872
Sample_IPO3917_A2_R1	4.31057604769726	1703280726	13518101	4103324	1629859515	24060728
Sample_IPO3917_A2_R2	4.845366165436197	1703280726	13518101	4236705	1620750538	35751901
Sample_IPO3917_A3_R1	3.921094180035086	545042736	4325736	1257465	523671097	7103693
Sample_IPO3917_A3_R2	4.535508936679049	545042736	4325736	1289673	520322274	11166487
Sample_IPO3917_A4_R1	4.474653194976342	713389320	5661820	1706801	681467622	10372403
Sample_IPO3917_A4_R2	5.003860725024591	713389320	5661820	1762066	677692312	15224437
Sample_IPO3917_A5_R1	16.788445175835133	3906989856	31007856	17840549	3251067006	64982158
Sample_IPO3917_A5_R2	17.021194487585586	3906989856	31007856	17925298	3241973514	79908488
Sample_IPO3917_A6_R1	2.9075124410963986	1536487974	12194349	3150200	1491814395	20360849
Sample_IPO3917_A6_R2	3.7985156400579805	1536487974	12194349	3258444	1478124238	35438407
Sample_IPO3917_A7_R1	15.283160663468085	3951876600	31364100	17910685	3347904950	52751046
Sample_IPO3917_A7_R2	15.789260018898363	3951876600	31364100	18011343	3327904528	82047436
Sample_IPO3917_A8_R1	4.241268395074081	1153924002	9158127	2807253	1104982988	15503175
Sample_IPO3917_A8_R2	5.12017592992229	1153924002	9158127	2866499	1094841063	27508925
Sample_IPO3917_A9_R1	4.069120734688463	1817299260	14423010	4339110	1743351159	23407778
Sample_IPO3917_A9_R2	4.772761421803473	1817299260	14423010	4444771	1730563902	38845601
Sample_IPO3917_B10_R1	4.022917525764834	1188484668	9432418	2976143	1140672910	14137515
Sample_IPO3917_B10_R2	4.793554896746889	1188484668	9432418	3047445	1131514003	25121365
Sample_IPO3917_B11_R1	3.36518308936989	1447761168	11490168	3402464	1399041354	17241822
Sample_IPO3917_B11_R2	4.16809203988817	1447761168	11490168	3483281	1387417150	30262386
Sample_IPO3917_B12_R1	5.380944809412361	1462846392	11609892	3879127	1384131435	20183937
Sample_IPO3917_B12_R2	5.9338190581530315	1462846392	11609892	3943356	1376043734	31313684
Sample_IPO3917_B1_R1	8.069803827145346	673861734	5348109	2100772	619482414	9901664
Sample_IPO3917_B1_R2	8.789858811006471	673861734	5348109	2131631	614630239	17543605
Sample_IPO3917_B2_R1	4.1373796556397915	449087310	3564185	1090814	430506863	5178636
Sample_IPO3917_B2_R2	5.430281029316994	449087310	3564185	1115720	424700607	12185623
Sample_IPO3917_B3_R1	3.9447464925382416	1190727594	9450219	2744986	1143756409	17263082
Sample_IPO3917_B3_R2	4.62233161281723	1190727594	9450219	2827594	1135688216	26928300
Sample_IPO3917_B4_R1	3.0654832056816463	1131648966	8981341	2293607	1096958457	14949799
Sample_IPO3917_B4_R2	3.930352815786516	1131648966	8981341	2355188	1087171169	25916444
Sample_IPO3917_B5_R1	4.455755040465079	1046738826	8307451	2636508	1000098708	11508102
