Sample	sequence_duplication_levels	adapter_content	Sequence length	Sequences flagged as poor quality	avg_sequence_length	kmer_content	Filename	Total Sequences	per_sequence_quality_scores	per_tile_sequence_quality	per_base_sequence_content	sequence_length_distribution	total_deduplicated_percentage	per_base_sequence_quality	%GC	per_base_n_content	per_sequence_gc_content	basic_statistics	overrepresented_sequences	File type	Encoding
Sample_PRO1322_PlateA_E2_R1_val_1	fail	pass	100-126	0.0	124.99005654965934	fail	Sample_PRO1322_PlateA_E2_R1_val_1.fq.gz	13494511.0	pass	pass	fail	warn	20.122716251083286	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E2_R2_val_2	fail	pass	100-126	0.0	124.93973534869103	fail	Sample_PRO1322_PlateA_E2_R2_val_2.fq.gz	13494511.0	pass	pass	fail	warn	20.556086487336074	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E3_R1_val_1	fail	pass	100-126	0.0	125.07561118500283	fail	Sample_PRO1322_PlateA_E3_R1_val_1.fq.gz	18194041.0	pass	pass	fail	warn	22.774395067809607	pass	33.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E3_R2_val_2	fail	pass	100-126	0.0	125.16110692506409	fail	Sample_PRO1322_PlateA_E3_R2_val_2.fq.gz	18194041.0	pass	pass	fail	warn	22.267399674394696	pass	33.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E4_R1_val_1	fail	pass	100-126	0.0	124.65538368730314	fail	Sample_PRO1322_PlateA_E4_R1_val_1.fq.gz	6514680.0	pass	pass	fail	warn	16.593972842277065	fail	37.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E4_R2_val_2	fail	pass	100-126	0.0	124.75927321065654	fail	Sample_PRO1322_PlateA_E4_R2_val_2.fq.gz	6514680.0	pass	pass	fail	warn	15.855214757841992	pass	37.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E5_R1_val_1	fail	pass	100-126	0.0	124.66991365653217	fail	Sample_PRO1322_PlateA_E5_R1_val_1.fq.gz	5950537.0	pass	pass	fail	warn	21.227567917987066	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E5_R2_val_2	fail	pass	100-126	0.0	124.77479914837939	fail	Sample_PRO1322_PlateA_E5_R2_val_2.fq.gz	5950537.0	pass	pass	fail	warn	20.88210239250247	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E6_R1_val_1	fail	pass	100-126	0.0	125.25816952055564	fail	Sample_PRO1322_PlateA_E6_R1_val_1.fq.gz	20243079.0	pass	pass	fail	warn	29.357487362266667	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E6_R2_val_2	fail	pass	100-126	0.0	125.15945227502199	fail	Sample_PRO1322_PlateA_E6_R2_val_2.fq.gz	20243079.0	pass	pass	fail	warn	30.282804090700633	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E7_R1_val_1	pass	pass	100-126	0.0	124.95536708484893	warn	Sample_PRO1322_PlateA_E7_R1_val_1.fq.gz	53884.0	pass	pass	fail	warn	92.26486526612725	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E7_R2_val_2	pass	pass	100-126	0.0	125.05261302056269	warn	Sample_PRO1322_PlateA_E7_R2_val_2.fq.gz	53884.0	pass	pass	fail	warn	92.06629055007052	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E8_R1_val_1	fail	pass	100-126	0.0	125.11250914686053	fail	Sample_PRO1322_PlateA_E8_R1_val_1.fq.gz	12399063.0	pass	pass	fail	warn	28.89523996546505	pass	33.0	pass	warn	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E8_R2_val_2	fail	pass	100-126	0.0	125.17658794055647	fail	Sample_PRO1322_PlateA_E8_R2_val_2.fq.gz	12399063.0	pass	pass	fail	warn	28.537140333546247	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E9_R1_val_1	fail	pass	100-126	0.0	125.12467642913431	fail	Sample_PRO1322_PlateA_E9_R1_val_1.fq.gz	18059027.0	pass	pass	fail	warn	34.03525744180179	pass	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_E9_R2_val_2	fail	pass	100-126	0.0	125.1766972827495	fail	Sample_PRO1322_PlateA_E9_R2_val_2.fq.gz	18059027.0	pass	pass	fail	warn	34.2384124846317	pass	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F10_R1_val_1	fail	pass	100-126	0.0	124.99859134453631	fail	Sample_PRO1322_PlateA_F10_R1_val_1.fq.gz	10833735.0	pass	pass	fail	warn	32.75330966120256	fail	34.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F10_R2_val_2	fail	pass	100-126	0.0	125.2154232127701	fail	Sample_PRO1322_PlateA_F10_R2_val_2.fq.gz	10833735.0	pass	pass	fail	warn	30.14092545549012	pass	34.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F11_R1_val_1	pass	pass	124.0	0.0	124.0	pass	Sample_PRO1322_PlateA_F11_R1_val_1.fq.gz	1.0	warn		fail	pass	100.0	pass	33.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F11_R2_val_2	pass	pass	125.0	0.0	125.0	pass	Sample_PRO1322_PlateA_F11_R2_val_2.fq.gz	1.0	fail		fail	pass	100.0	pass	53.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F2_R1_val_1	fail	pass	100-126	0.0	124.86806498323098	fail	Sample_PRO1322_PlateA_F2_R1_val_1.fq.gz	7121468.0	pass	pass	fail	warn	28.919820793154404	fail	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F2_R2_val_2	fail	pass	100-126	0.0	125.02470515910484	fail	Sample_PRO1322_PlateA_F2_R2_val_2.fq.gz	7121468.0	pass	pass	fail	warn	25.3693110203448	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F3_R1_val_1	fail	pass	100-126	0.0	125.05563532575837	fail	Sample_PRO1322_PlateA_F3_R1_val_1.fq.gz	14462376.0	pass	pass	fail	warn	23.94454760301213	fail	32.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F3_R2_val_2	fail	pass	100-126	0.0	125.16195118976302	fail	Sample_PRO1322_PlateA_F3_R2_val_2.fq.gz	14462376.0	pass	pass	fail	warn	22.643441142943907	pass	32.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F4_R1_val_1	fail	pass	100-126	0.0	125.01976671871859	fail	Sample_PRO1322_PlateA_F4_R1_val_1.fq.gz	7864583.0	pass	pass	fail	warn	13.427973091248333	pass	36.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F4_R2_val_2	fail	pass	100-126	0.0	125.05141569489444	fail	Sample_PRO1322_PlateA_F4_R2_val_2.fq.gz	7864583.0	pass	pass	fail	warn	13.294026105916013	pass	36.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F5_R1_val_1	fail	pass	100-126	0.0	125.06549501080255	fail	Sample_PRO1322_PlateA_F5_R1_val_1.fq.gz	14021694.0	pass	pass	fail	warn	20.810120380109236	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F5_R2_val_2	fail	pass	100-126	0.0	125.01217948416219	fail	Sample_PRO1322_PlateA_F5_R2_val_2.fq.gz	14021694.0	pass	pass	fail	warn	21.247917571049317	pass	35.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F6_R1_val_1	fail	pass	100-126	0.0	124.87807723646296	fail	Sample_PRO1322_PlateA_F6_R1_val_1.fq.gz	9241490.0	pass	pass	fail	warn	22.445619352200865	pass	34.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F6_R2_val_2	fail	pass	100-126	0.0	124.83153917820611	fail	Sample_PRO1322_PlateA_F6_R2_val_2.fq.gz	9241490.0	pass	pass	fail	warn	22.732250638217746	pass	34.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F7_R1_val_1	fail	pass	100-126	0.0	124.98082768178352	fail	Sample_PRO1322_PlateA_F7_R1_val_1.fq.gz	6185324.0	pass	pass	fail	warn	21.348141363310642	pass	33.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F7_R2_val_2	fail	pass	100-126	0.0	125.10583034938833	fail	Sample_PRO1322_PlateA_F7_R2_val_2.fq.gz	6185324.0	pass	pass	fail	warn	19.839503031764018	pass	33.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F8_R1_val_1	fail	pass	100-126	0.0	125.14872700724096	fail	Sample_PRO1322_PlateA_F8_R1_val_1.fq.gz	11716406.0	pass	pass	fail	warn	36.65631975149453	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F8_R2_val_2	fail	pass	100-126	0.0	125.20085340163186	fail	Sample_PRO1322_PlateA_F8_R2_val_2.fq.gz	11716406.0	pass	pass	fail	warn	36.82530549792858	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F9_R1_val_1	fail	pass	100-126	0.0	125.03957201901723	fail	Sample_PRO1322_PlateA_F9_R1_val_1.fq.gz	14591396.0	pass	pass	fail	warn	21.631565873482085	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_F9_R2_val_2	fail	pass	100-126	0.0	125.07878848603657	fail	Sample_PRO1322_PlateA_F9_R2_val_2.fq.gz	14591396.0	pass	pass	fail	warn	21.732045105781054	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G11_R1_val_1	fail	pass	100-126	0.0	125.08435485031565	fail	Sample_PRO1322_PlateA_G11_R1_val_1.fq.gz	38328454.0	pass	pass	fail	warn	6.438598675516256	fail	37.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G11_R2_val_2	fail	pass	100-126	0.0	125.19984722055317	fail	Sample_PRO1322_PlateA_G11_R2_val_2.fq.gz	38328454.0	pass	pass	fail	warn	6.0138917995819945	pass	37.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G1_R1_val_1	fail	pass	100-126	0.0	125.18950574487155	fail	Sample_PRO1322_PlateA_G1_R1_val_1.fq.gz	13437028.0	pass	pass	fail	warn	28.8937517091819	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G1_R2_val_2	fail	pass	100-126	0.0	125.20269891526608	fail	Sample_PRO1322_PlateA_G1_R2_val_2.fq.gz	13437028.0	pass	pass	fail	warn	28.663709346652315	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G2_R1_val_1	fail	pass	100-126	0.0	125.16596853515364	fail	Sample_PRO1322_PlateA_G2_R1_val_1.fq.gz	15124180.0	pass	pass	fail	warn	21.075920153533676	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G2_R2_val_2	fail	pass	100-126	0.0	125.0863469622816	fail	Sample_PRO1322_PlateA_G2_R2_val_2.fq.gz	15124180.0	pass	pass	fail	warn	21.719577112957726	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G3_R1_val_1	fail	pass	100-126	0.0	125.09020294649588	fail	Sample_PRO1322_PlateA_G3_R1_val_1.fq.gz	11372899.0	pass	pass	fail	warn	19.514454816143534	fail	34.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G3_R2_val_2	fail	pass	100-126	0.0	125.18626165588914	fail	Sample_PRO1322_PlateA_G3_R2_val_2.fq.gz	11372899.0	pass	pass	fail	warn	18.111467860444957	pass	34.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G4_R1_val_1	fail	pass	100-126	0.0	125.0470843881987	fail	Sample_PRO1322_PlateA_G4_R1_val_1.fq.gz	10995874.0	pass	pass	fail	warn	17.286590955841714	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G4_R2_val_2	fail	pass	100-126	0.0	125.09395224063135	fail	Sample_PRO1322_PlateA_G4_R2_val_2.fq.gz	10995874.0	pass	pass	fail	warn	16.94421854196364	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G6_R1_val_1	fail	pass	100-126	0.0	125.1466317437212	fail	Sample_PRO1322_PlateA_G6_R1_val_1.fq.gz	15595859.0	pass	pass	fail	warn	22.97627096831418	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G6_R2_val_2	fail	pass	100-126	0.0	125.09769535618398	fail	Sample_PRO1322_PlateA_G6_R2_val_2.fq.gz	15595859.0	pass	pass	fail	warn	23.647477268035075	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G7_R1_val_1	pass	pass	100-126	0.0	124.98737452863827	warn	Sample_PRO1322_PlateA_G7_R1_val_1.fq.gz	185102.0	pass	pass	fail	warn	83.8659883683595	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G7_R2_val_2	pass	pass	100-126	0.0	125.16339099523506	warn	Sample_PRO1322_PlateA_G7_R2_val_2.fq.gz	185102.0	pass	pass	fail	warn	82.83017879454869	pass	36.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G8_R1_val_1	warn	pass	100-126	0.0	125.19206143316045	fail	Sample_PRO1322_PlateA_G8_R1_val_1.fq.gz	3381366.0	pass	pass	fail	warn	67.22333394052282	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G8_R2_val_2	warn	pass	100-126	0.0	125.16785967564587	fail	Sample_PRO1322_PlateA_G8_R2_val_2.fq.gz	3381366.0	pass	pass	fail	warn	67.46409083623432	pass	32.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G9_R1_val_1	fail	pass	100-126	0.0	125.22148420683723	fail	Sample_PRO1322_PlateA_G9_R1_val_1.fq.gz	17342758.0	pass	pass	fail	warn	24.25695976730519	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_G9_R2_val_2	fail	pass	100-126	0.0	125.15042665070919	fail	Sample_PRO1322_PlateA_G9_R2_val_2.fq.gz	17342758.0	pass	pass	fail	warn	25.061407443950618	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H10_R1_val_1	fail	pass	100-126	0.0	125.04635268444379	fail	Sample_PRO1322_PlateA_H10_R1_val_1.fq.gz	12973898.0	pass	pass	fail	warn	15.410315557803203	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H10_R2_val_2	fail	pass	100-126	0.0	125.00207316259153	fail	Sample_PRO1322_PlateA_H10_R2_val_2.fq.gz	12973898.0	pass	pass	fail	warn	15.757810494924401	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H1_R1_val_1	fail	pass	100-126	0.0	124.99976097909556	fail	Sample_PRO1322_PlateA_H1_R1_val_1.fq.gz	15772679.0	pass	pass	fail	warn	17.763126369918854	pass	35.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H1_R2_val_2	fail	pass	100-126	0.0	124.97689625205712	fail	Sample_PRO1322_PlateA_H1_R2_val_2.fq.gz	15772679.0	pass	pass	fail	warn	17.73085237147622	pass	35.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H2_R1_val_1	fail	pass	100-126	0.0	125.17081081637185	fail	Sample_PRO1322_PlateA_H2_R1_val_1.fq.gz	15163384.0	pass	pass	fail	warn	8.718939472442896	pass	36.0	pass	fail	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H2_R2_val_2	fail	pass	100-126	0.0	125.15914567618942	fail	Sample_PRO1322_PlateA_H2_R2_val_2.fq.gz	15163384.0	pass	pass	fail	warn	9.237296255243402	pass	36.0	pass	fail	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H3_R1_val_1	fail	pass	100-126	0.0	125.10878468266486	fail	Sample_PRO1322_PlateA_H3_R1_val_1.fq.gz	15751565.0	pass	pass	fail	warn	21.465378617091016	pass	34.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H3_R2_val_2	fail	pass	100-126	0.0	125.17397401464552	fail	Sample_PRO1322_PlateA_H3_R2_val_2.fq.gz	15751565.0	pass	pass	fail	warn	21.462026745407634	pass	34.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H4_R1_val_1	fail	pass	100-126	0.0	125.07322486226484	fail	Sample_PRO1322_PlateA_H4_R1_val_1.fq.gz	9069761.0	pass	pass	fail	warn	28.10605307157684	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H4_R2_val_2	fail	pass	100-126	0.0	125.17826654969188	fail	Sample_PRO1322_PlateA_H4_R2_val_2.fq.gz	9069761.0	pass	pass	fail	warn	26.367886245387083	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H5_R1_val_1	fail	pass	100-126	0.0	124.90924855441571	fail	Sample_PRO1322_PlateA_H5_R1_val_1.fq.gz	12778397.0	pass	pass	fail	warn	13.775482598517296	pass	38.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H5_R2_val_2	fail	pass	100-126	0.0	124.91347396703983	fail	Sample_PRO1322_PlateA_H5_R2_val_2.fq.gz	12778397.0	pass	pass	fail	warn	13.88769754930442	pass	38.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H6_R1_val_1	pass	pass	100-126	0.0	125.0225497330329	warn	Sample_PRO1322_PlateA_H6_R1_val_1.fq.gz	114059.0	pass	pass	fail	warn	85.34618048553818	fail	33.0	pass	pass	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H6_R2_val_2	pass	pass	100-126	0.0	125.14395181441184	warn	Sample_PRO1322_PlateA_H6_R2_val_2.fq.gz	114059.0	pass	pass	fail	warn	84.78243715971558	pass	33.0	pass	pass	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H7_R1_val_1	pass	pass	100-126	0.0	125.07438777271362	warn	Sample_PRO1322_PlateA_H7_R1_val_1.fq.gz	156437.0	pass	pass	fail	warn	85.31165564360793	pass	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H7_R2_val_2	pass	pass	100-126	0.0	125.15314791257822	warn	Sample_PRO1322_PlateA_H7_R2_val_2.fq.gz	156437.0	pass	pass	fail	warn	85.24899647621572	pass	36.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H8_R1_val_1	warn	pass	100-126	0.0	125.11756140020067	fail	Sample_PRO1322_PlateA_H8_R1_val_1.fq.gz	11492267.0	pass	pass	fail	warn	50.53670836928019	pass	34.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H8_R2_val_2	fail	pass	100-126	0.0	125.19934091332894	fail	Sample_PRO1322_PlateA_H8_R2_val_2.fq.gz	11492267.0	pass	pass	fail	warn	49.485564569394754	pass	34.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H9_R1_val_1	fail	pass	100-126	0.0	125.04622343489285	fail	Sample_PRO1322_PlateA_H9_R1_val_1.fq.gz	10104420.0	pass	pass	fail	warn	24.18859417803991	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_H9_R2_val_2	fail	pass	100-126	0.0	124.99585240914372	fail	Sample_PRO1322_PlateA_H9_R2_val_2.fq.gz	10104420.0	pass	pass	fail	warn	24.380922105591825	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A10_R1_val_1	fail	pass	100-126	0.0	125.14676892797304	fail	Sample_PRO1322_PlateB_A10_R1_val_1.fq.gz	10659620.0	pass	pass	fail	warn	18.955139999618503	pass	36.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A10_R2_val_2	fail	pass	100-126	0.0	125.14916788778586	fail	Sample_PRO1322_PlateB_A10_R2_val_2.fq.gz	10659620.0	pass	pass	fail	warn	18.66706425266645	pass	36.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A11_R1_val_1	pass	pass	101-126	0.0	125.11764705882354	fail	Sample_PRO1322_PlateB_A11_R1_val_1.fq.gz	102.0	pass	pass	fail	warn	97.05882352941177	pass	36.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A11_R2_val_2	pass	pass	101-126	0.0	124.98039215686275	pass	Sample_PRO1322_PlateB_A11_R2_val_2.fq.gz	102.0	pass	pass	fail	warn	98.0392156862745	pass	36.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A12_R1_val_1	fail	pass	100-126	0.0	124.97101870918344	fail	Sample_PRO1322_PlateB_A12_R1_val_1.fq.gz	14749067.0	pass	pass	fail	warn	16.818233437258428	fail	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A12_R2_val_2	fail	pass	100-126	0.0	125.07898147048894	fail	Sample_PRO1322_PlateB_A12_R2_val_2.fq.gz	14749067.0	pass	pass	fail	warn	16.18571646335278	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A1_R1_val_1	pass	pass	124.0	0.0	124.0	pass	Sample_PRO1322_PlateB_A1_R1_val_1.fq.gz	1.0	pass		fail	pass	100.0	pass	26.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A1_R2_val_2	pass	pass	125.0	0.0	125.0	pass	Sample_PRO1322_PlateB_A1_R2_val_2.fq.gz	1.0	pass		fail	pass	100.0	pass	22.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A2_R1_val_1	fail	pass	100-126	0.0	125.2426332929797	fail	Sample_PRO1322_PlateB_A2_R1_val_1.fq.gz	17976078.0	pass	pass	fail	warn	16.622552923146376	pass	35.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A2_R2_val_2	fail	pass	100-126	0.0	125.15243274979115	fail	Sample_PRO1322_PlateB_A2_R2_val_2.fq.gz	17976078.0	pass	pass	fail	warn	17.493566272744644	pass	35.0	pass	warn	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A3_R1_val_1	pass	pass	100-126	0.0	125.35961465331474	pass	Sample_PRO1322_PlateB_A3_R1_val_1.fq.gz	7889.0	pass	fail	fail	warn	90.7846368361009	pass	33.0	pass	warn	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A3_R2_val_2	pass	pass	101-126	0.0	125.25871466599062	pass	Sample_PRO1322_PlateB_A3_R2_val_2.fq.gz	7889.0	pass	fail	fail	warn	91.19026492584611	pass	33.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A4_R1_val_1	fail	pass	100-126	0.0	125.09422277732843	fail	Sample_PRO1322_PlateB_A4_R1_val_1.fq.gz	8169808.0	pass	pass	fail	warn	21.42095995561892	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A4_R2_val_2	fail	pass	100-126	0.0	125.15817935990663	fail	Sample_PRO1322_PlateB_A4_R2_val_2.fq.gz	8169808.0	pass	pass	fail	warn	20.615400599887394	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A5_R1_val_1	pass	pass	100-126	0.0	124.82750839630563	warn	Sample_PRO1322_PlateB_A5_R1_val_1.fq.gz	19056.0	pass	warn	fail	warn	80.49433249370277	pass	35.0	pass	warn	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A5_R2_val_2	pass	pass	100-126	0.0	124.84996851385391	warn	Sample_PRO1322_PlateB_A5_R2_val_2.fq.gz	19056.0	pass	warn	fail	warn	80.57304785894208	pass	35.0	pass	warn	pass	fail	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A6_R1_val_1	fail	pass	100-126	0.0	125.20954536236134	fail	Sample_PRO1322_PlateB_A6_R1_val_1.fq.gz	16991686.0	pass	pass	fail	warn	25.865539437044166	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A6_R2_val_2	fail	pass	100-126	0.0	125.20439343099913	fail	Sample_PRO1322_PlateB_A6_R2_val_2.fq.gz	16991686.0	pass	pass	fail	warn	24.770101318876378	pass	34.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateB_A8_R1_val_1	pass	pass	123-126	0.0	125.26666666666667	pass	Sample_PRO1322_PlateB_A8_R1_val_1.fq.gz	15.0	pass	pass	fail	warn	100.0	pass	33.0	pass	fail	pass	fail	Conventional base calls	Sanger / Illumina 1.9
